id,loan_amnt,funded_amnt,term,grade,purpose,ead,ead_ratio,loan_status,default,pd_probability,lgd_predicted,ecl,ifrs9_stage,ecl_base,ecl_adverse,ecl_optimistic
127504,10000.0,10000.0,36,A,home_improvement,0.0,0.0,Fully Paid,0,0.07612957673411024,0.6061263950802047,0.0,Stage 1,0.0,0.0,0.0
99100,15600.0,8000.0,36,D,debt_consolidation,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.07177909124307616,0.5063535345422134,0.0,Stage 1,0.0,0.0,0.0
164741,16000.0,16000.0,36,C,credit_card,0.0,0.0,Fully Paid,0,0.1040828085474951,0.4931728944715751,0.0,Stage 2,0.0,0.0,0.0
126213,9500.0,9500.0,36,A,other,0.0,0.0,Fully Paid,0,0.07502590282526037,0.5448106118933866,0.0,Stage 1,0.0,0.0,0.0
178472,600.0,600.0,36,E,other,0.0,0.0,Does not meet the credit policy. Status:Fully Paid,0,0.12277350594787347,0.294590451046585,0.0,Stage 2,0.0,0.0,0.0
186499,1000.0,1000.0,36,A,other,0.0,0.0,Fully Paid,0,0.028078481877138968,0.660597124850729,0.0,Stage 1,0.0,0.0,0.0
164346,500.0,500.0,36,A,other,0.0,0.0,Fully Paid,0,0.07027989680222194,0.2839044596025001,0.0,Stage 1,0.0,0.0,0.0
156389,900.0,900.0,36,E,other,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.052132688569597796,0.5098083392745989,0.0,Stage 1,0.0,0.0,0.0
170528,12000.0,12000.0,36,C,debt_consolidation,0.0,0.0,Fully Paid,0,0.09806568157774555,0.4957703974091236,0.0,Stage 1,0.0,0.0,0.0
144635,25000.0,25000.0,36,D,debt_consolidation,0.0,0.0,Charged Off,1,0.12400796889785817,0.5639138218266491,0.0,Stage 2,0.0,0.0,0.0
149575,10000.0,10000.0,36,A,educational,0.0,0.0,Fully Paid,0,0.09515816059793442,0.6925425265829613,0.0,Stage 1,0.0,0.0,0.0
151638,2400.0,2400.0,36,E,other,0.0,0.0,Does not meet the credit policy. Status:Fully Paid,0,0.14674854274357207,0.4929379465830433,0.0,Stage 2,0.0,0.0,0.0
98276,5400.0,5400.0,36,A,educational,0.0,0.0,Fully Paid,0,0.08984051635976655,0.734513597266136,0.0,Stage 1,0.0,0.0,0.0
179897,25000.0,25000.0,36,D,small_business,0.0,0.0,Fully Paid,0,0.12324719968054268,0.5239548679642477,0.0,Stage 2,0.0,0.0,0.0
113179,1000.0,1000.0,36,C,wedding,0.0,0.0,Charged Off,1,0.07272018263546703,0.5091171178194814,0.0,Stage 1,0.0,0.0,0.0
84918,5000.0,5000.0,36,A,other,0.0,0.0,Fully Paid,0,0.07277429058666124,0.5557366012065036,0.0,Stage 1,0.0,0.0,0.0
158289,9000.0,9000.0,36,C,credit_card,0.0,0.0,Fully Paid,0,0.12738539979093563,0.4961155552147116,0.0,Stage 2,0.0,0.0,0.0
190811,2000.0,2000.0,36,A,moving,0.0,0.0,Charged Off,1,0.10021705351826281,0.5157141840974163,0.0,Stage 2,0.0,0.0,0.0
145833,25000.0,25000.0,36,D,small_business,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.09890566025363672,0.4995607949512148,0.0,Stage 1,0.0,0.0,0.0
114408,8000.0,8000.0,36,G,credit_card,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.04591317704844245,0.5627101080821895,0.0,Stage 1,0.0,0.0,0.0
152070,5000.0,5000.0,36,D,small_business,0.0,0.0,Does not meet the credit policy. Status:Fully Paid,0,0.09151210962020122,0.5680188456110947,0.0,Stage 1,0.0,0.0,0.0
147125,14000.0,14000.0,36,D,credit_card,0.0,0.0,Does not meet the credit policy. Status:Fully Paid,0,0.12745252487767805,0.466828928033509,0.0,Stage 2,0.0,0.0,0.0
166683,6500.0,6500.0,36,A,debt_consolidation,0.0,0.0,Fully Paid,0,0.053076566011280094,0.5075779728366713,0.0,Stage 1,0.0,0.0,0.0
139980,12000.0,5000.0,36,C,other,0.0,0.0,Charged Off,1,0.09244301860546641,0.4968437456602032,0.0,Stage 1,0.0,0.0,0.0
103507,4000.0,4000.0,36,F,credit_card,0.0,0.0,Does not meet the credit policy. Status:Fully Paid,0,0.132753765300642,0.5122762291120155,0.0,Stage 2,0.0,0.0,0.0
136976,20425.0,8500.0,36,F,debt_consolidation,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.06690291805668411,0.5416074177157459,0.0,Stage 1,0.0,0.0,0.0
131387,6000.0,6000.0,36,C,educational,0.0,0.0,Fully Paid,0,0.09469367003714928,0.4989663035627357,0.0,Stage 1,0.0,0.0,0.0
159713,900.0,900.0,36,C,educational,0.0,0.0,Charged Off,1,0.1468103694897941,0.2213067594823648,0.0,Stage 2,0.0,0.0,0.0
188718,20825.0,20825.0,36,G,small_business,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.045810503734377984,0.5676568151642752,0.0,Stage 1,0.0,0.0,0.0
121824,3000.0,3000.0,36,B,home_improvement,0.0,0.0,Fully Paid,0,0.06598719397757583,0.4852899793885139,0.0,Stage 1,0.0,0.0,0.0
114469,13000.0,13000.0,36,G,other,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.06747741342724521,0.5558382068949512,0.0,Stage 1,0.0,0.0,0.0
140561,2225.0,2225.0,36,C,moving,0.0,0.0,Charged Off,1,0.11879941868271882,0.5324398551762104,0.0,Stage 2,0.0,0.0,0.0
130797,10000.0,10000.0,36,B,credit_card,0.0,0.0,Does not meet the credit policy. Status:Fully Paid,0,0.12205562061174906,0.7331424684401504,0.0,Stage 2,0.0,0.0,0.0
182254,10000.0,10000.0,36,D,debt_consolidation,0.0,0.0,Does not meet the credit policy. Status:Fully Paid,0,0.06884623172707909,0.3483734531963038,0.0,Stage 1,0.0,0.0,0.0
152911,25000.0,25000.0,36,F,debt_consolidation,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.16072867783698364,0.5336290498635681,0.0,Stage 2,0.0,0.0,0.0
180005,4000.0,4000.0,36,A,other,0.0,0.0,Fully Paid,0,0.06590261227338928,0.5532508462601724,0.0,Stage 1,0.0,0.0,0.0
123279,2500.0,2500.0,36,A,moving,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.09438613145302728,0.6750051687786538,0.0,Stage 1,0.0,0.0,0.0
94406,6725.0,6725.0,36,D,debt_consolidation,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.05727252917690707,0.4737483059589197,0.0,Stage 1,0.0,0.0,0.0
181036,18000.0,18000.0,36,B,educational,0.0,0.0,Fully Paid,0,0.07237576307548013,0.5255684601293233,0.0,Stage 1,0.0,0.0,0.0
125897,6625.0,6625.0,36,C,credit_card,0.0,0.0,Fully Paid,0,0.10033374636005397,0.5376609363189722,0.0,Stage 2,0.0,0.0,0.0
148763,7500.0,7500.0,36,C,debt_consolidation,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.04042785574111357,0.4134890577412458,0.0,Stage 1,0.0,0.0,0.0
151621,18000.0,18000.0,36,B,educational,0.0,0.0,Fully Paid,0,0.051548973587264034,0.468315984335401,0.0,Stage 1,0.0,0.0,0.0
168222,25000.0,25000.0,36,D,small_business,0.0,0.0,Fully Paid,0,0.10541283164176153,0.6226919119523,0.0,Stage 2,0.0,0.0,0.0
154497,10000.0,10000.0,36,C,educational,0.0,0.0,Does not meet the credit policy. Status:Charged Off,0,0.1666745980234183,0.6106535715186905,0.0,Stage 2,0.0,0.0,0.0
92402,5000.0,5000.0,36,B,credit_card,0.0,0.0,Fully Paid,0,0.05368937675669491,0.5401418118728689,0.0,Stage 1,0.0,0.0,0.0
90395,5000.0,5000.0,36,A,debt_consolidation,0.0,0.0,Fully Paid,0,0.0557253680867111,0.5539957766685492,0.0,Stage 1,0.0,0.0,0.0
153022,3000.0,3000.0,36,A,home_improvement,0.0,0.0,Fully Paid,0,0.04795006500855987,0.6672231118042495,0.0,Stage 1,0.0,0.0,0.0
358633,5000.0,5000.0,36,A,other,0.0,0.0,Fully Paid,0,0.08232022758163597,0.49644105358875,0.0,Stage 1,0.0,0.0,0.0
364487,15000.0,15000.0,36,E,debt_consolidation,0.0,0.0,Fully Paid,0,0.1360010273879427,0.512530259921048,0.0,Stage 2,0.0,0.0,0.0
