ALL 151 COLUMNS WITH DTYPE AND NULL %

  1. id                                       | int64      | 0.0% null
  2. member_id                                | float64    | 100.0% null
  3. loan_amnt                                | float64    | 0.0% null
  4. funded_amnt                              | float64    | 0.0% null
  5. funded_amnt_inv                          | float64    | 0.0% null
  6. term                                     | str        | 0.0% null
  7. int_rate                                 | float64    | 0.0% null
  8. installment                              | float64    | 0.0% null
  9. grade                                    | str        | 0.0% null
 10. sub_grade                                | str        | 0.0% null
 11. emp_title                                | str        | 6.1% null
 12. emp_length                               | str        | 6.1% null
 13. home_ownership                           | str        | 0.0% null
 14. annual_inc                               | float64    | 0.0% null
 15. verification_status                      | str        | 0.0% null
 16. issue_d                                  | str        | 0.0% null
 17. loan_status                              | str        | 0.0% null
 18. pymnt_plan                               | str        | 0.0% null
 19. url                                      | str        | 0.0% null
 20. desc                                     | str        | 100.0% null
 21. purpose                                  | str        | 0.0% null
 22. title                                    | str        | 0.1% null
 23. zip_code                                 | str        | 0.0% null
 24. addr_state                               | str        | 0.0% null
 25. dti                                      | float64    | 0.0% null
 26. delinq_2yrs                              | float64    | 0.0% null
 27. earliest_cr_line                         | str        | 0.0% null
 28. fico_range_low                           | float64    | 0.0% null
 29. fico_range_high                          | float64    | 0.0% null
 30. inq_last_6mths                           | float64    | 0.0% null
 31. mths_since_last_delinq                   | float64    | 48.6% null
 32. mths_since_last_record                   | float64    | 82.4% null
 33. open_acc                                 | float64    | 0.0% null
 34. pub_rec                                  | float64    | 0.0% null
 35. revol_bal                                | float64    | 0.0% null
 36. revol_util                               | float64    | 0.0% null
 37. total_acc                                | float64    | 0.0% null
 38. initial_list_status                      | str        | 0.0% null
 39. out_prncp                                | float64    | 0.0% null
 40. out_prncp_inv                            | float64    | 0.0% null
 41. total_pymnt                              | float64    | 0.0% null
 42. total_pymnt_inv                          | float64    | 0.0% null
 43. total_rec_prncp                          | float64    | 0.0% null
 44. total_rec_int                            | float64    | 0.0% null
 45. total_rec_late_fee                       | float64    | 0.0% null
 46. recoveries                               | float64    | 0.0% null
 47. collection_recovery_fee                  | float64    | 0.0% null
 48. last_pymnt_d                             | str        | 0.1% null
 49. last_pymnt_amnt                          | float64    | 0.0% null
 50. next_pymnt_d                             | str        | 88.0% null
 51. last_credit_pull_d                       | str        | 0.0% null
 52. last_fico_range_high                     | float64    | 0.0% null
 53. last_fico_range_low                      | float64    | 0.0% null
 54. collections_12_mths_ex_med               | float64    | 0.0% null
